No.,Scope,Application,Permission,Platform Admin,Platform Member,Team Lead,Team Member,WS Owner,WS Publisher,WS Contributor,WS Viewer,Conditions / Notes,Spec Section
26,Workspace,Private notes,Create notes visible only to the current user,No automatic access,No automatic access,No automatic access,No automatic access,Allowed,Allowed,Allowed,Allowed,Private notes do not modify workspace content.,7.4 Workspace roles
27,Workspace,Collaboration,"Create shared annotations, discussions, mentions, and tasks",No automatic access,No automatic access,No automatic access,No automatic access,Allowed,Allowed,Allowed,Prohibited,Mentions may target only principals that already have workspace access.,7.4 Workspace roles
28,Workspace,Content editing,Upload files or revise current Team Workspace content,No automatic access,No automatic access,No automatic access,No automatic access,Allowed,Allowed,Conditional,Prohibited,Contributor changes enter the proposal queue in Review mode or autosave in Freeflow.,7.4; 7.4 Editing policy
29,Workspace,Review mode,Submit revisions to the Team Workspace proposal queue,No automatic access,No automatic access,No automatic access,No automatic access,Allowed,Allowed,Allowed,Prohibited,Applies when Review mode is enabled.,7.4 Team Workspace editing policy
30,Workspace,Review mode,"Review, merge, reject, or request changes on workspace revision proposals",No automatic access,No automatic access,No automatic access,No automatic access,Allowed,Allowed,Prohibited,Prohibited,Does not grant workspace access administration.,7.4 Team Workspace editing policy
31,Workspace,Freeflow,Edit the current Team Workspace directly with autosave,No automatic access,No automatic access,No automatic access,No automatic access,Allowed,Allowed,Conditional,Prohibited,Contributor permission is active only when Freeflow is enabled. Every revision is attributed.,7.4 Team Workspace editing policy
32,Workspace,Change history,View changes since the previous published version,No automatic access,No automatic access,No automatic access,No automatic access,Allowed,Allowed,Conditional,Prohibited,Contributors see their revisions and any history allowed by workspace policy.,7.4 Freeflow requirements
33,Workspace,Publication,Publish the current Team Workspace as an immutable version,No automatic access,No automatic access,No automatic access,No automatic access,Allowed,Allowed,Prohibited,Prohibited,"Publication freezes content, validation results, revision boundary, and exact skill manifest.",7.4 Workspace publication
34,Workspace,Artifact release,Release approved files to the GCS release bucket,No automatic access,No automatic access,No automatic access,No automatic access,Conditional,Conditional,Prohibited,Prohibited,Keep this separate from workspace publication if GCS release has its own review lifecycle.,Product decision required
35,Workspace,Editing policy,Set or change Review mode versus Freeflow,No automatic access,No automatic access,No automatic access,No automatic access,Allowed,Prohibited,Prohibited,Prohibited,Policy transition is audited and cannot discard pending proposals or revision history.,7.4 Team Workspace editing policy
36,Workspace,Access administration,"Grant or remove Viewer, Contributor, or Publisher access",No automatic access,No automatic access,No automatic access,No automatic access,Allowed,Prohibited,Prohibited,Prohibited,Publisher and Owner must be named-user assignments; Team grants may provide Viewer or Contributor.,7.4; 8
37,Workspace,Ownership,Transfer accountable workspace ownership,Conditional,No automatic access,No automatic access,No automatic access,Allowed,Prohibited,Prohibited,Prohibited,The system must always retain one active accountable Owner. Platform Admin action is break-glass only.,7.4; 8
38,Workspace,Lifecycle,Archive or restore a Team Workspace,Conditional,No automatic access,No automatic access,No automatic access,Allowed,Prohibited,Prohibited,Prohibited,"Platform Admin action is audited emergency administration, not automatic workspace authority.",7.2; 7.4
39,Workspace,Version recovery,Restore a prior published version as a new current revision,No automatic access,No automatic access,No automatic access,No automatic access,Allowed,Conditional,Prohibited,Prohibited,Historical versions are never mutated. Publisher restoration requires explicit workspace delegation.,7.4 Workspace publication
40,Workspace capability,Skill manifest,Select or upgrade the exact approved skill version pinned to the workspace,No automatic access,No automatic access,No automatic access,No automatic access,Allowed,Prohibited,Prohibited,Prohibited,A workspace can pin only approved active versions; a private proposal cannot be inherited.,7.5 Skill roles
41,Workspace capability,Skill invocation,Invoke a skill pinned to the workspace,No automatic access,No automatic access,No automatic access,No automatic access,Conditional,Conditional,Conditional,Conditional,Requires the exact pinned version through one of the user's Teams plus all runtime checks.,5.13; 7.5; 19
42,Workspace knowledge,Knowledge authoring,Create or update knowledge for the current workspace,No automatic access,No automatic access,No automatic access,No automatic access,Allowed,Allowed,Conditional,Prohibited,Contributor behaviour follows Review mode or Freeflow. Platform knowledge follows a separate curator flow.,7.6 Knowledge roles
43,Workspace,Immutable versions,Edit or bypass the read-only restriction of a published version,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Nobody edits immutable published content in place. Break-glass may grant read access only.,5.2; 7.4
44,Workspace,Multi-Team sharing,Grant workspace access to another Team or a registered user from another Team,No automatic access,No automatic access,No automatic access,No automatic access,Allowed,Prohibited,Prohibited,Prohibited,Workspace access does not merge skill catalogs or grant the pinned skill.,5.13; 7.4; 12
45,Governance,Access explanation,View why the current user has or lacks access,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,Users see a concise reason and remediation action.,16 Access Explanation
46,Governance,Access inspector,View the detailed effective authorization trace,Allowed,Prohibited,Conditional,Prohibited,Conditional,Prohibited,Prohibited,Prohibited,Team Lead scope is own Team; Workspace Owner scope is own workspace; Platform Admin sees governance metadata.,16 Access Explanation
47,Governance,Audit,View immutable governance and publication audit events,Allowed,Prohibited,Conditional,Prohibited,Conditional,Conditional,Prohibited,Prohibited,Scope audit visibility to the actor's governed Team or workspace.,15 Audit Requirements
